Duration,Country,Year,NumTrips
1 night or over,Latvia,2020,1710120
1 night or over,Latvia,2021,2789931
1 night or over,Latvia,2022,3939978
1 night or over,Latvia,2023,4329881
1 night or over,Lithuania,2012,3591817
1 night or over,Lithuania,2013,3697248
1 night or over,Lithuania,2014,3740470
1 night or over,Lithuania,2015,3796313
1 night or over,Lithuania,2016,3757500
1 night or over,Lithuania,2017,3788279
1 night or over,Lithuania,2018,4067849
1 night or over,Lithuania,2019,4299140
1 night or over,Lithuania,2020,2637489
1 night or over,Lithuania,2021,3342817
1 night or over,Lithuania,2022,4637125
1 night or over,Lithuania,2023,5084292
1 night or over,Luxembourg,2012,1354875
1 night or over,Luxembourg,2013,1404240
1 night or over,Luxembourg,2014,1540940
1 night or over,Luxembourg,2015,1471638
1 night or over,Luxembourg,2016,1411381
1 night or over,Luxembourg,2017,1975826
1 night or over,Luxembourg,2018,2068951
1 night or over,Luxembourg,2019,2071537
1 night or over,Luxembourg,2020,1388693
1 night or over,Luxembourg,2021,1784687
1 night or over,Luxembourg,2022,2663071
1 night or over,Luxembourg,2023,2831225
1 night or over,Malta,2012,437605
1 night or over,Malta,2013,457866
1 night or over,Malta,2014,485803
1 night or over,Malta,2015,517739
1 night or over,Malta,2016,637075
1 night or over,Malta,2017,688388
1 night or over,Malta,2018,752720
1 night or over,Malta,2019,785453
1 night or over,Malta,2020,500528
1 night or over,Malta,2021,599243
1 night or over,Malta,2022,865837
1 night or over,Malta,2023,1087320
1 night or over,Montenegro,2016,1374144
1 night or over,Montenegro,2017,1270386
1 night or over,Netherlands,2012,44231312
1 night or over,Netherlands,2013,41109704
1 night or over,Netherlands,2014,40200462
1 night or over,Netherlands,2015,39309747
1 night or over,Netherlands,2016,40251419
1 night or over,Netherlands,2017,41545466
1 night or over,Netherlands,2018,41009898
1 night or over,Netherlands,2019,42583347
1 night or over,Netherlands,2020,26617535
1 night or over,Netherlands,2021,41330407
1 night or over,Netherlands,2022,41989800
1 night or over,Netherlands,2023,44135885
1 night or over,North Macedonia,2019,534230
1 night or over,North Macedonia,2020,288966
1 night or over,North Macedonia,2021,461664
1 night or over,Norway,2013,15919247
1 night or over,Norway,2014,19137212
1 night or over,Norway,2015,17879796
1 night or over,Norway,2016,17453107
1 night or over,Norway,2017,18374095
1 night or over,Norway,2018,22236771
1 night or over,Norway,2021,20231575
1 night or over,Norway,2022,25104032
1 night or over,Norway,2023,24074584
1 night or over,Poland,2012,45393594
1 night or over,Poland,2013,47381735
1 night or over,Poland,2014,46601121
1 night or over,Poland,2015,48700497
1 night or over,Poland,2016,52548595
1 night or over,Poland,2017,55176857
1 night or over,Poland,2018,57605263
1 night or over,Poland,2019,60624660
1 night or over,Poland,2020,42760021
1 night or over,Poland,2021,50799165
1 night or over,Poland,2022,60469189
1 night or over,Poland,2023,62464709
1 night or over,Portugal,2012,12827024
1 night or over,Portugal,2013,13658478
1 night or over,Portugal,2014,13203235
1 night or over,Portugal,2015,14171255
1 night or over,Portugal,2016,14375075
1 night or over,Portugal,2017,16025008
1 night or over,Portugal,2018,16539484
1 night or over,Portugal,2019,18576455
1 night or over,Portugal,2020,11468879
1 night or over,Portugal,2021,13656709
1 night or over,Portugal,2022,17464959
1 night or over,Portugal,2023,18408222
1 night or over,Romania,2012,16410642
1 night or over,Romania,2013,17177613
1 night or over,Romania,2014,16855253
1 night or over,Romania,2015,16070931
1 night or over,Romania,2016,16768435
1 night or over,Romania,2017,17270735
1 night or over,Romania,2018,17831849
1 night or over,Romania,2019,18751902
1 night or over,Romania,2020,11409029
1 night or over,Romania,2021,16956911
1 night or over,Romania,2022,17879468
1 night or over,Romania,2023,20977578
