Duration,Country,Year,NumTrips
From 1 to 3 nights,Finland,2017,24956040
From 1 to 3 nights,Finland,2018,20280352
From 1 to 3 nights,Finland,2018,3129837
From 1 to 3 nights,Finland,2018,23410189
From 1 to 3 nights,Finland,2019,20631549
From 1 to 3 nights,Finland,2019,2212866
From 1 to 3 nights,Finland,2019,22844415
From 1 to 3 nights,Finland,2020,14751971
From 1 to 3 nights,Finland,2020,627826
From 1 to 3 nights,Finland,2020,688601
From 1 to 3 nights,Finland,2020,15440571
From 1 to 3 nights,Finland,2021,19653912
From 1 to 3 nights,Finland,2021,576630
From 1 to 3 nights,Finland,2021,633727
From 1 to 3 nights,Finland,2021,20287639
From 1 to 3 nights,Finland,2022,17605819
From 1 to 3 nights,Finland,2022,1276922
From 1 to 3 nights,Finland,2022,1341858
From 1 to 3 nights,Finland,2022,18947677
From 1 to 3 nights,Finland,2023,15408517
From 1 to 3 nights,Finland,2023,2256584
From 1 to 3 nights,Finland,2023,2463593
From 1 to 3 nights,Finland,2023,207009
From 1 to 3 nights,Finland,2023,17872110
From 1 to 3 nights,France,2012,101090835
From 1 to 3 nights,France,2012,4858392
From 1 to 3 nights,France,2012,105949227
From 1 to 3 nights,France,2013,99691398
From 1 to 3 nights,France,2013,4962452
From 1 to 3 nights,France,2013,104653851
From 1 to 3 nights,France,2014,100199550
From 1 to 3 nights,France,2014,5356788
From 1 to 3 nights,France,2014,105556338
From 1 to 3 nights,France,2015,88733645
From 1 to 3 nights,France,2015,5047258
From 1 to 3 nights,France,2015,93780902
From 1 to 3 nights,France,2016,87141181
From 1 to 3 nights,France,2016,4722287
From 1 to 3 nights,France,2016,91863468
From 1 to 3 nights,France,2017,99012103
From 1 to 3 nights,France,2017,6316258
From 1 to 3 nights,France,2017,105328361
From 1 to 3 nights,France,2018,96705160
From 1 to 3 nights,France,2018,6935434
From 1 to 3 nights,France,2018,103640594
From 1 to 3 nights,France,2019,98083414
From 1 to 3 nights,France,2019,6532242
From 1 to 3 nights,France,2019,104615656
From 1 to 3 nights,France,2020,76759964
From 1 to 3 nights,France,2020,2242381
From 1 to 3 nights,France,2020,3022539
From 1 to 3 nights,France,2020,780158
From 1 to 3 nights,France,2020,79782502
From 1 to 3 nights,France,2021,99745216
From 1 to 3 nights,France,2021,2350138
From 1 to 3 nights,France,2021,2945857
From 1 to 3 nights,France,2021,595719
From 1 to 3 nights,France,2021,102691073
From 1 to 3 nights,France,2022,109412243
From 1 to 3 nights,France,2022,5563893
From 1 to 3 nights,France,2022,6618183
From 1 to 3 nights,France,2022,1054290
From 1 to 3 nights,France,2022,116030426
From 1 to 3 nights,France,2023,116570701
From 1 to 3 nights,France,2023,7239099
From 1 to 3 nights,France,2023,9145359
From 1 to 3 nights,France,2023,1906261
From 1 to 3 nights,France,2023,125716060
From 1 to 3 nights,Germany,2012,84908064
From 1 to 3 nights,Germany,2012,13876657
From 1 to 3 nights,Germany,2012,98784720
From 1 to 3 nights,Germany,2013,87350273
From 1 to 3 nights,Germany,2013,14900957
From 1 to 3 nights,Germany,2013,102251230
From 1 to 3 nights,Germany,2014,80109555
From 1 to 3 nights,Germany,2014,13920042
From 1 to 3 nights,Germany,2014,94029597
From 1 to 3 nights,Germany,2015,89534444
From 1 to 3 nights,Germany,2015,15354115
From 1 to 3 nights,Germany,2015,104888560
From 1 to 3 nights,Germany,2016,87104335
From 1 to 3 nights,Germany,2016,17094355
From 1 to 3 nights,Germany,2016,104198690
From 1 to 3 nights,Germany,2017,79063521
From 1 to 3 nights,Germany,2017,14924947
From 1 to 3 nights,Germany,2017,93988468
From 1 to 3 nights,Germany,2018,82390597
From 1 to 3 nights,Germany,2018,19057034
From 1 to 3 nights,Germany,2018,101447632
From 1 to 3 nights,Germany,2019,84381050
From 1 to 3 nights,Germany,2019,17542173
From 1 to 3 nights,Germany,2019,101923223
From 1 to 3 nights,Germany,2020,57445754
From 1 to 3 nights,Germany,2020,6360670
From 1 to 3 nights,Germany,2020,7397003
From 1 to 3 nights,Germany,2020,1036333
From 1 to 3 nights,Germany,2020,64842757
From 1 to 3 nights,Germany,2021,70272824
From 1 to 3 nights,Germany,2021,8497900
From 1 to 3 nights,Germany,2021,9406049
From 1 to 3 nights,Germany,2021,908149
From 1 to 3 nights,Germany,2021,79678873
From 1 to 3 nights,Germany,2022,67283380
From 1 to 3 nights,Germany,2022,12972090
From 1 to 3 nights,Germany,2022,15018847
From 1 to 3 nights,Germany,2022,2046758
From 1 to 3 nights,Germany,2022,82302228
From 1 to 3 nights,Germany,2023,78472262
From 1 to 3 nights,Germany,2023,14296783
From 1 to 3 nights,Germany,2023,16362660
From 1 to 3 nights,Germany,2023,2065877
From 1 to 3 nights,Germany,2023,94834922
From 1 to 3 nights,Greece,2012,2658927
From 1 to 3 nights,Greece,2012,90327
From 1 to 3 nights,Greece,2012,2749255
From 1 to 3 nights,Greece,2013,1357457
From 1 to 3 nights,Greece,2013,67605
From 1 to 3 nights,Greece,2013,1425062
From 1 to 3 nights,Greece,2014,1596409
From 1 to 3 nights,Greece,2014,97519
From 1 to 3 nights,Greece,2014,1693928
From 1 to 3 nights,Greece,2015,1472529
From 1 to 3 nights,Greece,2015,107218
From 1 to 3 nights,Greece,2015,1579747
From 1 to 3 nights,Greece,2016,1337167
From 1 to 3 nights,Greece,2016,95920
From 1 to 3 nights,Greece,2016,1433087
From 1 to 3 nights,Greece,2017,1446538
From 1 to 3 nights,Greece,2017,123584
From 1 to 3 nights,Greece,2017,1570122
From 1 to 3 nights,Greece,2018,1521486
From 1 to 3 nights,Greece,2018,158844
From 1 to 3 nights,Greece,2018,1680329
From 1 to 3 nights,Greece,2019,1300699
From 1 to 3 nights,Greece,2019,157296
From 1 to 3 nights,Greece,2019,1457995
From 1 to 3 nights,Greece,2020,1162815
From 1 to 3 nights,Greece,2020,24894
From 1 to 3 nights,Greece,2020,52714
From 1 to 3 nights,Greece,2020,27820
From 1 to 3 nights,Greece,2020,1215529
From 1 to 3 nights,Greece,2021,1220626
From 1 to 3 nights,Greece,2021,39806
From 1 to 3 nights,Greece,2021,64415
From 1 to 3 nights,Greece,2021,24609
From 1 to 3 nights,Greece,2021,1285040
From 1 to 3 nights,Greece,2022,1642427
From 1 to 3 nights,Greece,2022,87513
From 1 to 3 nights,Greece,2022,134740
From 1 to 3 nights,Greece,2022,47226
From 1 to 3 nights,Greece,2022,1777167
From 1 to 3 nights,Greece,2023,1477438
From 1 to 3 nights,Greece,2023,85435
From 1 to 3 nights,Greece,2023,136230
From 1 to 3 nights,Greece,2023,50795
From 1 to 3 nights,Greece,2023,1613668
From 1 to 3 nights,Hungary,2012,10404311
From 1 to 3 nights,Hungary,2012,1418008
From 1 to 3 nights,Hungary,2012,11822319
From 1 to 3 nights,Hungary,2013,8283007
From 1 to 3 nights,Hungary,2013,1678402
From 1 to 3 nights,Hungary,2013,9961409
From 1 to 3 nights,Hungary,2014,9005826
From 1 to 3 nights,Hungary,2014,2027675
From 1 to 3 nights,Hungary,2014,11033501
From 1 to 3 nights,Hungary,2015,9178335
From 1 to 3 nights,Hungary,2015,2363757
From 1 to 3 nights,Hungary,2015,11542092
From 1 to 3 nights,Hungary,2016,8787343
From 1 to 3 nights,Hungary,2016,2913650
From 1 to 3 nights,Hungary,2016,11700993
From 1 to 3 nights,Hungary,2017,8967808
From 1 to 3 nights,Hungary,2017,3075831
From 1 to 3 nights,Hungary,2017,12043639
From 1 to 3 nights,Hungary,2018,8667609
From 1 to 3 nights,Hungary,2018,3289223
From 1 to 3 nights,Hungary,2018,11956832
From 1 to 3 nights,Hungary,2019,8715121
From 1 to 3 nights,Hungary,2019,3460284
From 1 to 3 nights,Hungary,2019,12175405
From 1 to 3 nights,Hungary,2020,5314714
From 1 to 3 nights,Hungary,2020,1047500
From 1 to 3 nights,Hungary,2020,1209410
From 1 to 3 nights,Hungary,2020,161910
From 1 to 3 nights,Hungary,2020,6524124
From 1 to 3 nights,Hungary,2021,6036837
